0	-0.5	-0.3	0.09	
0	-2.5	-1.5	-0.12	
0	0.5	1.3	-1.47	
0	0	5.4	-5.61	
0	-3.5	-0.2	0.25	
0	0	0.7	-2.28	
0	-0.5	-0.1	1.67	
3	4.5	-2.3	38.97	
1	0	16.3	2.61	
1	-6	-2.9	-0.78	
0	0	0.3	-1.7	
2	-0.5	-112.6	-0.44	
0	1.5	-0.2	30.23	
0	0	0.4	-11.61	
0	0	20.4	0.72	
-3	-1	0.1	5.93	
0	-15.5	4.9	0.72	
0	6	-10.3	-0.42	
0	0.5	0.4	-2.38	
3	0	0.2	0.21	
-6	-1	-0.1	-0.75	
0	1.5	0.2	-0.9	
-3	0	1.9	-0.52	
1	1.5	0.5	0	
4	-3.5	-0.3	0.23	
1	-1.5	1.3	0.88	
-1	-4	1.3	3.55	
-3	-1	-1.6	-5.83	
0	0	1.1	1.7	
0	0.5	16	0.11	
0	0	-2.1	-0.09	
0	-1.5	0.2	-0.36	
0	0	1.7	0.82	
0	0.5	-5.9	-0.38	
1	0.5	0.3	2.4	
2	-2.5	0.1	1.88	
0	1	-0.6	0.2	
0	-0.5	-0.4	0.12	
0	0	-0.5	1.55	
-2	0.5	0.7	-0.32	
0	-0.5	-15.4	-10.97	
3	-101	-0.2	1.23	
0	1	-0.5	5.35	
1	-1	-0.3	1.54	
0	0	-1.4	1.53	
-3	0.5	0.6	1.15	
0	0	-0.6	3.11	
0	0	-3.4	-2.18	
0	2	-0.1	3.82	
0	3	1.3	0.65	
-3	-0.5	20	-0.48	
0	-0.5	-0.5	0.77	
2	3	1.2	4.79	
1	0	0.5	21.29	
-1	-2.5	-1.4	-0.43	
0	4	-4.9	-0.49	
-1	0	-0.3	1.25	
-2	0	1.2	-0.62	
0	0	0.6	4.29	
-19	11	0.5	-4.58	
3	0	0.4	-2.32	
0	0	-0.7	0.84	
0	-0.5	0.4	-5.59	
-1	-0.5	0.1	0.39	
0	1	0	-1.67	
0	-1.5	-9.6	1.02	
0	3.5	4.2	0.35	
22	1	-0.9	1.6	
23	2.5	2.9	-0.67	
1	2.5	1.2	0.33	
0	0	-7.9	0.05	
-1	0	0	0.61	
0	0	0.4	0.56	
-1	0	0.1	65.47	
0	-1	0	0.55	
4	-0.5	-3.1	17.64	
-1	0	-0.1	0.31	
0	0	2.9	-0.71	
-21	5.5	2.3	2.12	
0	-0.5	-0.1	-1.51	
-2	5	1.8	1.68	
2	-2.5	-8.1	1.19	
0	0	0.1	0.78	
15	0	-0.2	-1.29	
0	0	-3.2	1.73	
9	1	-0.3	-1.39	
0	0.5	-2.8	147.01	
0	-3	2.8	-0.3	
-19	4	-1.1	0.01	
0	0.5	5.5	6.78	
1	0.5	0	-1.51	
0	-1	-0.7	-0.11	
0	0	1.1	-4.5	
0	2.5	0.9	-0.24	
2	0	-0.6	0.27	
1	0	-55.6	0.29	
3	-0.5	0.2	6.5	
2	0	1.4	4.9	
-2	-111.5	0.1	-1.22	
0	0	-0.9	-9.55	
-158	-1.5	2.7	-3.1	
0	-0.5	0.9	2.16	
-1	-8.5	-3.4	-2.39	
-1	6.5	0.1	-0.41	
6	0	0	-0.92	
0	-3.5	6.3	-1.25	
-3	0	1.4	-2.45	
-368	-2.5	-5.3	0.5	
2	3.5	-0.3	-2.46	
1	10.5	9.1	-0.75	
0	1.5	1.1	0.66	
0	0	3.4	5.35	
3	-0.5	-1.4	-1.01	
1	-7.5	1.9	0.39	
2	0	-2.3	1	
-15	1	0.7	-2.71	
3	0	0.5	0.34	
-6	1	-2.6	2.23	
0	-3	8.6	-1.61	
0	1	1.3	0.36	
-1	-1.5	48	-52.23	
-10	6	1	-0.15	
4	0	0.8	26.75	
0	-2	0.5	-0.39	
0	0.5	0.1	0.09	
-1	-0.5	0.3	0.52	
21	0.5	-0.2	0.07	
0	31.5	-0.4	-0.54	
0	0.5	-0.2	-3.52	
-1	0.5	1	0.48	
-16	-1.5	-0.7	-1.17	
0	0	-0.6	-6.37	
1	0	1.6	2.14	
-1	2	0.3	-0.87	
2	0	-0.1	-0.95	
0	-6.5	26.9	0.27	
0	0	0.2	0.18	
-2	1.5	0.7	0.86	
4	1.5	10.4	1.9	
0	0	0.1	0.71	
-1	1	-0.2	-0.58	
0	-53.5	-1.2	-4.88	
0	0	5	-0.23	
-1	-1.5	-1.7	-0.73	
1	0	-1.8	0.74	
0	0	-0.1	0.78	
0	2	-0.9	-0.03	
11	0.5	-0.2	4.54	
1	0.5	1.2	-9.84	
0	0.5	0.5	15.78	
1	0	-3.8	0.13	
-14	0	-0.2	-1.72	
-2	0	50	1.75	
-1	-4	-1.4	0.09	
-5	0.5	-1	1.47	
-12	8	-0.5	0.67	
-19	-17.5	-1	-0.1	
1	0	1.8	3.55	
0	0	-4.9	0.1	
10	0.5	-1.2	-0.31	
-2	0.5	1.2	-0.63	
0	-1	0.4	-0.42	
1	-3.5	-2.2	-0.06	
