2	0	0.5	0.44	
1	0	0.5	0.41	
1	1	0.9	0.43	
2	1	0.5	0.72	
0	1	0.6	0.7	
0	0	0.3	0.68	
0	0.5	0.2	0.44	
1	0.5	0.2	0.58	
1	0	0.5	0.66	
0	0	0.4	0.43	
1	1.5	0.3	0.58	
2	0	0.4	0.53	
0	0.5	0.5	0.74	
0	1.5	0.5	0.72	
0	0.5	0.6	0.56	
0	0.5	0.1	0.59	
0	0	0.4	0.55	
0	0	0.7	0.59	
4	0.5	0.9	0.58	
0	1.5	1.1	0.48	
0	0	1	0.6	
0	0	0.6	0.56	
1	0.5	0.6	0.55	
1	0.5	0	0.62	
4	1.5	0.4	0.53	
0	0	0.8	0.61	
0	1	1.1	0.64	
0	0.5	0.6	0.53	
0	0	0.6	0.79	
0	1.5	0.8	0.57	
0	0	1.1	0.57	
2	1	0.4	0.66	
0	0.5	0.6	0.52	
2	0	0.5	0.51	
1	0.5	0.8	0.5	
0	0	0.9	0.56	
0	1	0.8	0.48	
2	0.5	0.5	0.59	
0	0	0.7	0.75	
0	0.5	0.3	0.61	
0	1.5	0.3	0.63	
0	1.5	0.1	0.63	
0	0.5	0.5	0.57	
2	0.5	0.2	0.53	
1	0.5	0.3	0.51	
0	2	0.5	0.56	
0	0	0.5	0.6	
0	0.5	1.4	0.36	
0	0	0.5	0.59	
1	1	0.6	0.66	
0	0.5	0.3	0.82	
0	0.5	0.1	0.43	
1	1.5	0.9	0.45	
0	0.5	0.7	0.41	
2	0	0.2	0.76	
0	0	0.7	0.68	
0	0	0.5	0.41	
1	1.5	0.8	0.53	
2	0.5	0.3	0.46	
2	0	0.2	0.47	
0	0.5	0.1	0.65	
0	0	0.8	0.63	
0	0.5	0.5	0.75	
0	0.5	0.4	0.57	
0	1	0.8	0.51	
1	1	0.9	0.71	
3	0.5	0.8	0.47	
0	0	0.6	0.63	
1	0	0.3	0.54	
0	1	0.7	0.5	
3	0.5	0.3	0.62	
0	1	0.5	0.53	
2	0.5	0.5	0.53	
0	0	1.6	0.61	
1	0.5	0.9	0.64	
0	0	0.7	0.46	
0	1	0.6	0.48	
0	0	0.4	0.63	
0	1	0.5	0.55	
1	0.5	1.2	0.5	
2	1.5	0.8	0.49	
0	0	0.8	0.52	
1	2.5	0.6	0.73	
0	1.5	0.2	0.6	
0	0.5	0.9	0.48	
0	0	0.6	0.5	
0	1	0.9	0.49	
0	0.5	0.7	0.49	
0	0	1	0.57	
2	0	1.1	0.68	
0	2.5	0.8	0.59	
0	0	0.8	0.56	
1	0	1.1	0.55	
0	0	0.3	0.69	
1	0	0.6	0.53	
0	1.5	0.4	0.49	
0	0.5	0.7	0.54	
5	0.5	0.6	0.69	
0	0.5	0.6	0.56	
0	0	0.6	0.35	
0	1	0.8	0.58	
0	0.5	0.6	0.5	
0	1	0.7	0.82	
0	0	1.1	0.65	
3	0.5	0.9	0.43	
0	0	0.3	0.53	
1	0.5	0.7	0.53	
0	0	0.2	0.53	
0	1.5	0.7	0.63	
0	0	0.4	0.5	
0	1.5	1	0.65	
1	0.5	1	0.68	
1	0	0.6	0.57	
1	0	1	0.7	
0	0	0.8	0.61	
0	0.5	1	0.53	
2	0.5	0.6	0.46	
0	0.5	0.5	0.68	
0	0.5	0.6	0.47	
1	1	0.6	0.67	
0	0	0.5	0.63	
1	0.5	0.8	0.45	
0	0.5	0.6	0.54	
0	0	0.8	0.72	
0	2	0.7	0.64	
0	0.5	0.1	0.47	
1	0	0.7	0.82	
0	0	0.1	0.44	
0	0.5	0.7	0.56	
0	0.5	0.6	0.38	
0	0	0.9	0.42	
1	0	0.3	0.56	
0	1	0.6	0.43	
2	2	0.1	0.65	
0	0	1	0.52	
2	3	0.3	0.75	
2	0	0.7	0.36	
0	1.5	0.9	0.79	
4	0.5	0.2	0.61	
0	0.5	0.1	0.53	
1	0	0.2	0.84	
0	0	0.4	0.51	
1	1	0.2	0.61	
1	0	0.4	0.55	
0	1	0.5	0.79	
0	0	0.4	0.42	
0	0.5	0.4	0.58	
0	0	0.3	0.67	
1	0.5	1	0.72	
0	1	0.5	0.62	
1	0.5	1.4	0.51	
0	0.5	1	0.74	
0	1	0.8	0.63	
0	2	0.7	0.49	
0	0.5	0.4	0.54	
1	0.5	0.3	0.62	
0	0.5	0.8	0.58	
1	0	0.2	0.54	
0	1.5	0.5	0.59	
0	1.5	0.8	0.47	
0	1	0.8	0.55	
6	0	0.5	0.7	
1	2	0.3	0.63	
2	0	0.4	0.62	
1	0	0.6	0.44	
3	0	0.4	0.69	
0	0	0.7	0.48	
1	0	0.3	0.54	
0	1.5	1.7	0.38	
0	1.5	0.4	0.82	
2	0	0.3	0.78	
3	0	0.8	0.46	
0	0.5	0.3	0.43	
1	1	0.4	0.61	
1	0.5	0.6	0.6	
1	1	0.2	0.52	
0	0	0.4	0.42	
0	0	0.2	0.61	
